			3389-Left	3389-Right
25.	 89.0 	 C0 - 5.5 mA	 C1 - 5.5 mA 	 (0.64 / 1.00) 
26.	 89.0 	 C1 - 5.5 mA	 C0 - 5.5 mA 	 (0.92 / 0.99) 
27.	 89.0 	 C0 - 5.0 mA	 C1 - 1.5 mA 	 (0.66 / 1.00) 
28.	 88.9 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (0.66 / 1.00) 
29.	 88.9 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.66 / 1.00) 
30.	 88.9 	 C1 - 5.5 mA	 C1 - 3.0 mA 	 (0.92 / 1.00) 
31.	 88.8 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (0.66 / 1.00) 
32.	 88.8 	 C2 - 5.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
33.	 88.8 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (0.66 / 0.99) 
34.	 88.7 	 C1 - 5.5 mA	 C1 - 2.5 mA 	 (0.92 / 1.00) 
35.	 88.7 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (0.66 / 0.99) 
36.	 88.7 	 C2 - 5.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
37.	 88.7 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (0.96 / 1.00) 
38.	 88.6 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (0.64 / 1.00) 
39.	 88.6 	 C2 - 5.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
40.	 88.6 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (0.66 / 1.00) 
41.	 88.6 	 C2 - 5.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
42.	 88.5 	 C1 - 5.5 mA	 C1 - 5.0 mA 	 (0.92 / 1.00) 
43.	 88.5 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (0.66 / 1.00) 
44.	 88.5 	 C1 - 4.0 mA	 C1 - 1.5 mA 	 (0.96 / 1.00) 
45.	 88.5 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (0.66 / 1.00) 
46.	 88.5 	 C1 - 4.0 mA	 C1 - 4.5 mA 	 (0.96 / 1.00) 
47.	 88.5 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (0.94 / 1.00) 
48.	 88.4 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (0.96 / 1.00) 
49.	 88.4 	 C1 - 3.0 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
50.	 88.4 	 C1 - 3.0 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
51.	 88.4 	 C1 - 5.0 mA	 C1 - 1.5 mA 	 (0.94 / 1.00) 
52.	 88.4 	 C1 - 5.0 mA	 C0 - 4.5 mA 	 (0.94 / 1.00) 
53.	 88.3 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (0.64 / 1.00) 
54.	 88.3 	 C1 - 3.5 mA	 C1 - 4.0 mA 	 (0.98 / 1.00) 
55.	 88.3 	 C1 - 5.0 mA	 C1 - 4.5 mA 	 (0.94 / 1.00) 
56.	 88.3 	 C1 - 5.5 mA	 C0 - 4.0 mA 	 (0.92 / 1.00) 
57.	 88.3 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (0.96 / 0.99) 
58.	 88.3 	 C1 - 4.0 mA	 C1 - 2.0 mA 	 (0.96 / 1.00) 
59.	 88.2 	 C0 - 5.0 mA	 C1 - 2.5 mA 	 (0.66 / 1.00) 
60.	 88.2 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
61.	 88.2 	 C0 - 5.5 mA	 C2 - 5.5 mA 	 (0.64 / 1.00) 
62.	 88.2 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (0.94 / 0.99) 
63.	 88.2 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (0.96 / 0.99) 
64.	 88.2 	 C1 - 5.5 mA	 C1 - 5.5 mA 	 (0.92 / 1.00) 
65.	 88.2 	 C0 - 5.0 mA	 C1 - 5.5 mA 	 (0.66 / 1.00) 
66.	 88.2 	 C1 - 5.0 mA	 C1 - 2.0 mA 	 (0.94 / 1.00) 
67.	 88.2 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
68.	 88.1 	 C1 - 4.0 mA	 C1 - 3.5 mA 	 (0.96 / 1.00) 
69.	 88.1 	 C1 - 3.5 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
70.	 88.1 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (0.94 / 0.99) 
71.	 88.1 	 C1 - 3.0 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
72.	 88.1 	 C1 - 2.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
73.	 88.1 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
74.	 88.1 	 C1 - 3.5 mA	 C1 - 4.5 mA 	 (0.98 / 1.00) 
75.	 88.1 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (0.96 / 1.00) 
76.	 88.0 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (0.99 / 0.99) 
77.	 88.0 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (0.94 / 1.00) 
78.	 88.0 	 C1 - 5.0 mA	 C1 - 3.5 mA 	 (0.94 / 1.00) 
79.	 88.0 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.92 / 1.00) 
80.	 88.0 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (0.98 / 0.99) 
81.	 88.0 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (0.99 / 0.99) 
82.	 87.9 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (0.66 / 1.00) 
83.	 87.9 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (0.98 / 0.99) 
84.	 87.9 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
85.	 87.9 	 C1 - 3.5 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
86.	 87.9 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (0.95 / 1.00) 
87.	 87.8 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (0.95 / 1.00) 
88.	 87.8 	 C1 - 3.0 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
89.	 87.8 	 C1 - 3.0 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
90.	 87.8 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (0.67 / 1.00) 
91.	 87.7 	 C1 - 4.0 mA	 C1 - 3.0 mA 	 (0.96 / 1.00) 
92.	 87.7 	 C1 - 2.5 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
93.	 87.7 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (0.95 / 0.99) 
94.	 87.7 	 C1 - 3.5 mA	 C1 - 3.5 mA 	 (0.98 / 1.00) 
95.	 87.7 	 C2 - 5.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
96.	 87.7 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (0.99 / 0.99) 
97.	 87.7 	 C1 - 4.5 mA	 C1 - 1.5 mA 	 (0.95 / 1.00) 
98.	 87.7 	 C1 - 4.5 mA	 C1 - 4.5 mA 	 (0.95 / 1.00) 
99.	 87.7 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (0.67 / 1.00) 
100.	 87.7 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (0.67 / 1.00) 
101.	 87.7 	 C1 - 2.5 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
102.	 87.7 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (0.94 / 1.00) 
103.	 87.7 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (0.95 / 0.99) 
104.	 87.7 	 C1 - 3.5 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
105.	 87.6 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (0.99 / 0.99) 
106.	 87.6 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.64 / 1.00) 
107.	 87.6 	 C0 - 5.5 mA	 C2 - 5.0 mA 	 (0.64 / 1.00) 
108.	 87.6 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (0.67 / 0.99) 
109.	 87.5 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (0.67 / 0.99) 
110.	 87.5 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (0.64 / 1.00) 
111.	 87.5 	 C1 - 4.0 mA	 C1 - 2.5 mA 	 (0.96 / 1.00) 
112.	 87.5 	 C1 - 5.0 mA	 C1 - 2.5 mA 	 (0.94 / 1.00) 
113.	 87.5 	 C1 - 4.5 mA	 C1 - 2.0 mA 	 (0.95 / 1.00) 
114.	 87.4 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.66 / 1.00) 
115.	 87.4 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (0.96 / 1.00) 
116.	 87.4 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
117.	 87.4 	 C1 - 5.5 mA	 C2 - 5.5 mA 	 (0.92 / 1.00) 
118.	 87.4 	 C1 - 2.5 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
119.	 87.4 	 C1 - 5.0 mA	 C1 - 5.0 mA 	 (0.94 / 1.00) 
120.	 87.4 	 C1 - 4.5 mA	 C1 - 3.5 mA 	 (0.95 / 1.00) 
121.	 87.3 	 C1 - 3.0 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
122.	 87.3 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.95 / 1.00) 
123.	 87.3 	 C0 - 5.0 mA	 C2 - 5.5 mA 	 (0.66 / 1.00) 
124.	 87.3 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
125.	 87.3 	 C1 - 3.5 mA	 C1 - 3.0 mA 	 (0.98 / 1.00) 
126.	 87.3 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (0.94 / 1.00) 
127.	 87.3 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
128.	 87.3 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (0.92 / 1.00) 
129.	 87.3 	 C2 - 5.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
130.	 87.2 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (0.64 / 1.00) 
131.	 87.2 	 C0 - 4.5 mA	 C1 - 1.5 mA 	 (0.67 / 1.00) 
132.	 87.2 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (0.96 / 1.00) 
133.	 87.2 	 C2 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
134.	 87.2 	 C1 - 2.5 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
135.	 87.2 	 C2 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
136.	 87.2 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (0.67 / 1.00) 
137.	 87.2 	 C2 - 3.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
138.	 87.2 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
139.	 87.1 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
140.	 87.1 	 C1 - 5.5 mA	 C0 - 3.5 mA 	 (0.92 / 1.00) 
141.	 87.1 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
142.	 87.1 	 C2 - 5.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
143.	 87.1 	 C0 - 4.5 mA	 C1 - 2.0 mA 	 (0.67 / 1.00) 
144.	 87.1 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
145.	 87.1 	 C1 - 2.5 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
146.	 87.0 	 C1 - 5.0 mA	 C1 - 5.5 mA 	 (0.94 / 1.00) 
147.	 87.0 	 C1 - 3.0 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
148.	 87.0 	 C1 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
149.	 87.0 	 C1 - 4.0 mA	 C1 - 5.5 mA 	 (0.96 / 1.00) 
150.	 87.0 	 C1 - 3.5 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
151.	 87.0 	 C1 - 4.5 mA	 C1 - 3.0 mA 	 (0.95 / 1.00) 
152.	 87.0 	 C1 - 5.5 mA	 C2 - 5.0 mA 	 (0.92 / 1.00) 
153.	 86.9 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
154.	 86.9 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
155.	 86.9 	 C0 - 4.5 mA	 C0 - 1.5 mA 	 (0.67 / 1.00) 
156.	 86.9 	 C1 - 3.5 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
157.	 86.8 	 C0 - 4.5 mA	 C1 - 5.0 mA 	 (0.67 / 1.00) 
158.	 86.8 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (0.92 / 1.00) 
159.	 86.8 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
160.	 86.8 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (0.67 / 1.00) 
161.	 86.8 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.94 / 1.00) 
162.	 86.8 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.66 / 1.00) 
163.	 86.8 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
164.	 86.8 	 C2 - 5.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
165.	 86.7 	 C1 - 4.5 mA	 C1 - 5.0 mA 	 (0.95 / 1.00) 
166.	 86.7 	 C1 - 4.5 mA	 C1 - 2.5 mA 	 (0.95 / 1.00) 
167.	 86.7 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (0.66 / 1.00) 
168.	 86.7 	 C1 - 3.0 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
169.	 86.7 	 C0 - 5.0 mA	 C2 - 5.0 mA 	 (0.66 / 1.00) 
170.	 86.7 	 C1 - 4.5 mA	 C0 - 4.0 mA 	 (0.95 / 1.00) 
171.	 86.7 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (0.69 / 1.00) 
172.	 86.6 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (0.96 / 1.00) 
173.	 86.6 	 C1 - 2.5 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
174.	 86.6 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (0.69 / 0.99) 
175.	 86.6 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (0.67 / 1.00) 
176.	 86.6 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (0.69 / 0.99) 
177.	 86.5 	 C0 - 4.5 mA	 C1 - 5.5 mA 	 (0.67 / 1.00) 
178.	 86.5 	 C0 - 4.5 mA	 C1 - 2.5 mA 	 (0.67 / 1.00) 
179.	 86.4 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (0.66 / 1.00) 
180.	 86.4 	 C1 - 3.5 mA	 C1 - 5.5 mA 	 (0.98 / 1.00) 
181.	 86.4 	 C2 - 3.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
182.	 86.4 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (0.69 / 1.00) 
183.	 86.4 	 C1 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
184.	 86.4 	 C1 - 4.5 mA	 C1 - 5.5 mA 	 (0.95 / 1.00) 
185.	 86.3 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (0.69 / 1.00) 
186.	 86.3 	 C1 - 2.5 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
187.	 86.3 	 C2 - 5.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
188.	 86.3 	 C2 - 5.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
189.	 86.2 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
190.	 86.2 	 C1 - 5.0 mA	 C2 - 5.5 mA 	 (0.94 / 1.00) 
191.	 86.2 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
192.	 86.2 	 C1 - 3.0 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
193.	 86.1 	 C2 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
194.	 86.1 	 C2 - 5.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
195.	 86.1 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.94 / 1.00) 
196.	 86.0 	 C2 - 4.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
197.	 86.0 	 C1 - 5.0 mA	 C0 - 3.5 mA 	 (0.94 / 1.00) 
198.	 86.0 	 C0 - 5.5 mA	 C2 - 4.5 mA 	 (0.64 / 1.00) 
199.	 86.0 	 C1 - 3.5 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
200.	 86.0 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.95 / 1.00) 
201.	 86.0 	 C1 - 4.0 mA	 C2 - 5.5 mA 	 (0.96 / 1.00) 
202.	 86.0 	 C2 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
203.	 86.0 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
204.	 86.0 	 C2 - 5.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
205.	 85.9 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
206.	 85.9 	 C2 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
207.	 85.9 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
208.	 85.9 	 C1 - 3.0 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
209.	 85.8 	 C2 - 5.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
210.	 85.8 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (0.86 / 1.00) 
211.	 85.8 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (0.96 / 1.00) 
212.	 85.8 	 C2 - 5.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
213.	 85.8 	 C1 - 4.0 mA	 C0 - 3.5 mA 	 (0.96 / 1.00) 
214.	 85.8 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (0.86 / 0.99) 
215.	 85.8 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (0.86 / 0.99) 
216.	 85.8 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
217.	 85.8 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (0.69 / 1.00) 
218.	 85.8 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
219.	 85.8 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.67 / 1.00) 
220.	 85.8 	 C0 - 4.0 mA	 C1 - 1.5 mA 	 (0.69 / 1.00) 
221.	 85.7 	 C1 - 5.0 mA	 C2 - 5.0 mA 	 (0.94 / 1.00) 
222.	 85.7 	 C1 - 2.5 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
223.	 85.7 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
224.	 85.7 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (0.94 / 1.00) 
225.	 85.7 	 C1 - 2.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
226.	 85.6 	 C0 - 4.0 mA	 C1 - 2.0 mA 	 (0.69 / 1.00) 
227.	 85.6 	 C0 - 5.5 mA	 C2 - 1.5 mA 	 (0.64 / 1.00) 
228.	 85.6 	 C0 - 4.5 mA	 C2 - 5.5 mA 	 (0.67 / 1.00) 
229.	 85.5 	 C1 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
230.	 85.5 	 C1 - 5.5 mA	 C2 - 4.5 mA 	 (0.92 / 1.00) 
231.	 85.5 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (0.69 / 1.00) 
232.	 85.5 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (0.69 / 1.00) 
233.	 85.5 	 C0 - 4.0 mA	 C0 - 1.5 mA 	 (0.69 / 1.00) 
234.	 85.4 	 C1 - 4.0 mA	 C2 - 5.0 mA 	 (0.96 / 1.00) 
235.	 85.4 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (0.96 / 1.00) 
236.	 85.4 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (0.81 / 0.99) 
237.	 85.4 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (0.76 / 0.99) 
238.	 85.4 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (0.76 / 0.99) 
239.	 85.4 	 C0 - 2.0 mA	 C0 - 4.5 mA 	 (0.81 / 1.00) 
240.	 85.4 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (0.76 / 1.00) 
241.	 85.4 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (0.81 / 0.99) 
242.	 85.4 	 C1 - 4.5 mA	 C2 - 5.5 mA 	 (0.95 / 1.00) 
243.	 85.3 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (0.95 / 1.00) 
244.	 85.3 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (0.69 / 1.00) 
245.	 85.3 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
246.	 85.3 	 C1 - 3.5 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
247.	 85.3 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (0.95 / 1.00) 
248.	 85.3 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (0.67 / 1.00) 
249.	 85.2 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
250.	 85.2 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
251.	 85.2 	 C1 - 5.5 mA	 C2 - 1.5 mA 	 (0.92 / 1.00) 
252.	 85.2 	 C0 - 5.5 mA	 C2 - 4.0 mA 	 (0.64 / 1.00) 
253.	 85.2 	 C0 - 4.0 mA	 C1 - 5.5 mA 	 (0.69 / 1.00) 
254.	 85.2 	 C1 - 3.5 mA	 C0 - 2.5 mA 	 (0.98 / 1.00) 
255.	 85.2 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (0.67 / 1.00) 
256.	 85.1 	 C1 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
257.	 85.1 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (0.71 / 0.99) 
258.	 85.1 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (0.71 / 0.99) 
259.	 85.1 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
260.	 85.1 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (0.71 / 1.00) 
261.	 85.1 	 C0 - 5.0 mA	 C2 - 4.5 mA 	 (0.66 / 1.00) 
262.	 85.0 	 C0 - 5.5 mA	 C2 - 3.0 mA 	 (0.64 / 1.00) 
263.	 85.0 	 C1 - 2.5 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
264.	 85.0 	 C2 - 5.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
265.	 85.0 	 C0 - 4.0 mA	 C1 - 2.5 mA 	 (0.69 / 1.00) 
266.	 85.0 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
267.	 85.0 	 C1 - 3.0 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
268.	 85.0 	 C0 - 5.5 mA	 C2 - 2.5 mA 	 (0.64 / 1.00) 
269.	 85.0 	 C0 - 4.5 mA	 C2 - 5.0 mA 	 (0.67 / 1.00) 
270.	 84.9 	 C1 - 2.5 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
271.	 84.9 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (0.95 / 1.00) 
272.	 84.9 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.99) 
273.	 84.9 	 C1 - 3.0 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
274.	 84.9 	 C1 - 4.5 mA	 C2 - 5.0 mA 	 (0.95 / 1.00) 
275.	 84.9 	 C0 - 5.5 mA	 C2 - 3.5 mA 	 (0.64 / 1.00) 
276.	 84.9 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (0.74 / 0.99) 
277.	 84.9 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (0.67 / 1.00) 
