			3389-Left	3389-Right
25.	 87.7 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (0.83 / 1.00) 
26.	 87.0 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
27.	 86.8 	 C0 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
28.	 86.7 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
29.	 86.4 	 C0 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
30.	 86.2 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.81 / 1.00) 
31.	 85.8 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
32.	 85.8 	 C3 - 1.5 mA	 C0 - 3.5 mA 	 (0.90 / 1.00) 
33.	 85.4 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.81 / 1.00) 
34.	 85.1 	 C2 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
35.	 85.1 	 C0 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
36.	 85.0 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
37.	 84.8 	 C0 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
38.	 84.3 	 C3 - 1.5 mA	 C1 - 2.0 mA 	 (0.90 / 1.00) 
39.	 84.0 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
40.	 83.6 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
41.	 83.6 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
42.	 83.4 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
43.	 83.0 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (0.83 / 1.00) 
44.	 82.6 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
45.	 82.6 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
46.	 82.4 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
47.	 82.3 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
48.	 81.7 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.81 / 1.00) 
49.	 81.6 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (0.79 / 1.00) 
50.	 81.6 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
51.	 81.5 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
52.	 81.3 	 C3 - 2.0 mA	 C1 - 1.5 mA 	 (0.86 / 1.00) 
53.	 81.2 	 C0 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
54.	 81.2 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
55.	 81.1 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.79 / 1.00) 
56.	 81.1 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
57.	 80.8 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
58.	 80.8 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
59.	 80.6 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (0.86 / 1.00) 
60.	 80.4 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
61.	 80.4 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
62.	 80.4 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
63.	 80.1 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
64.	 79.9 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
65.	 79.8 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
66.	 79.8 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
67.	 79.4 	 C0 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
68.	 79.3 	 C1 - 5.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
69.	 79.2 	 C3 - 2.0 mA	 C1 - 2.0 mA 	 (0.86 / 1.00) 
70.	 79.1 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
71.	 79.0 	 C0 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
72.	 79.0 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
73.	 78.8 	 C2 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
74.	 78.5 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
75.	 78.4 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
76.	 78.4 	 C1 - 5.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
77.	 78.4 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
78.	 78.1 	 C0 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
79.	 78.1 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
80.	 78.0 	 C0 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
81.	 77.5 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
82.	 77.5 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
83.	 77.4 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
84.	 77.3 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
85.	 77.0 	 C3 - 1.5 mA	 C0 - 3.0 mA 	 (0.90 / 1.00) 
86.	 77.0 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
87.	 76.9 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (0.81 / 1.00) 
88.	 76.9 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.79 / 1.00) 
89.	 76.7 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
90.	 76.7 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
91.	 76.5 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (0.77 / 1.00) 
92.	 76.4 	 C1 - 5.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
93.	 76.4 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
94.	 76.3 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (0.77 / 1.00) 
95.	 76.3 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
96.	 76.0 	 C1 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
97.	 75.9 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
98.	 75.7 	 C1 - 5.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
99.	 75.7 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
100.	 75.3 	 C3 - 1.5 mA	 C1 - 2.5 mA 	 (0.90 / 1.00) 
101.	 75.0 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
102.	 75.0 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
103.	 74.7 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
104.	 74.7 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
105.	 74.5 	 C3 - 2.5 mA	 C0 - 3.5 mA 	 (0.83 / 1.00) 
106.	 74.5 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
107.	 74.4 	 C3 - 4.5 mA	 C0 - 5.0 mA 	 (0.75 / 1.00) 
108.	 74.3 	 C3 - 4.5 mA	 C0 - 5.5 mA 	 (0.75 / 1.00) 
109.	 74.3 	 C0 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
110.	 74.2 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
111.	 73.7 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
112.	 73.4 	 C2 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
113.	 73.3 	 C3 - 2.5 mA	 C1 - 1.5 mA 	 (0.83 / 1.00) 
114.	 73.3 	 C1 - 4.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
115.	 73.1 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
116.	 73.0 	 C0 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
117.	 72.6 	 C3 - 1.5 mA	 C0 - 2.5 mA 	 (0.90 / 1.00) 
118.	 72.5 	 C0 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
119.	 72.2 	 C0 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
120.	 72.2 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (0.86 / 1.00) 
121.	 72.1 	 C3 - 3.5 mA	 C0 - 4.0 mA 	 (0.79 / 1.00) 
122.	 72.1 	 C3 - 2.0 mA	 C1 - 2.5 mA 	 (0.86 / 1.00) 
123.	 72.0 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
124.	 71.8 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
125.	 71.8 	 C3 - 2.5 mA	 C1 - 2.0 mA 	 (0.83 / 1.00) 
126.	 71.8 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.74 / 1.00) 
127.	 71.8 	 C3 - 5.0 mA	 C0 - 5.5 mA 	 (0.74 / 1.00) 
128.	 71.7 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
129.	 71.7 	 C2 - 3.5 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
130.	 71.6 	 C3 - 4.0 mA	 C0 - 4.5 mA 	 (0.77 / 1.00) 
131.	 71.3 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
132.	 71.3 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (0.98 / 1.00) 
133.	 71.1 	 C0 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
134.	 71.1 	 C1 - 5.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
135.	 70.9 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
136.	 70.8 	 C0 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
137.	 70.8 	 C0 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
138.	 70.6 	 C0 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
139.	 70.5 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
140.	 69.9 	 C3 - 5.5 mA	 C0 - 5.5 mA 	 (0.73 / 1.00) 
141.	 69.9 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (0.90 / 1.00) 
142.	 69.9 	 C3 - 5.5 mA	 C0 - 5.0 mA 	 (0.73 / 1.00) 
143.	 69.7 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
144.	 69.5 	 C3 - 4.5 mA	 C0 - 4.5 mA 	 (0.75 / 1.00) 
145.	 69.2 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
146.	 69.2 	 C0 - 3.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
147.	 69.1 	 C0 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
148.	 69.0 	 C0 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
149.	 68.6 	 C3 - 3.0 mA	 C0 - 3.5 mA 	 (0.81 / 1.00) 
150.	 68.5 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
151.	 68.4 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
152.	 68.3 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
153.	 68.2 	 C0 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
154.	 68.1 	 C3 - 2.0 mA	 C0 - 2.5 mA 	 (0.86 / 1.00) 
155.	 68.0 	 C2 - 4.0 mA	 C0 - 5.0 mA 	 (0.96 / 1.00) 
156.	 67.9 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (0.96 / 1.00) 
157.	 67.8 	 C2 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
158.	 67.6 	 C2 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
159.	 67.5 	 C0 - 3.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
160.	 67.5 	 C1 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
161.	 67.3 	 C2 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
162.	 67.0 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (0.90 / 1.00) 
163.	 66.9 	 C0 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
164.	 66.9 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.77 / 1.00) 
165.	 66.8 	 C3 - 5.0 mA	 C0 - 4.5 mA 	 (0.74 / 1.00) 
166.	 66.8 	 C0 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
167.	 66.8 	 C0 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
168.	 66.7 	 C0 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
169.	 66.5 	 C3 - 2.5 mA	 C0 - 3.0 mA 	 (0.83 / 1.00) 
170.	 66.4 	 C0 - 4.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
171.	 66.3 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
172.	 66.3 	 C0 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
173.	 65.9 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
174.	 65.9 	 C2 - 4.5 mA	 C0 - 5.5 mA 	 (0.95 / 1.00) 
175.	 65.9 	 C2 - 4.5 mA	 C0 - 5.0 mA 	 (0.95 / 1.00) 
176.	 65.9 	 C3 - 2.5 mA	 C1 - 2.5 mA 	 (0.83 / 1.00) 
177.	 65.8 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
178.	 65.7 	 C2 - 3.0 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
179.	 65.7 	 C3 - 3.0 mA	 C1 - 1.5 mA 	 (0.81 / 1.00) 
180.	 65.5 	 C2 - 5.0 mA	 C0 - 5.5 mA 	 (0.94 / 1.00) 
181.	 65.5 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (0.94 / 1.00) 
182.	 65.4 	 C0 - 4.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
183.	 65.3 	 C3 - 2.0 mA	 C0 - 1.5 mA 	 (0.86 / 1.00) 
184.	 65.2 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
185.	 65.2 	 C3 - 1.5 mA	 C1 - 3.0 mA 	 (0.90 / 1.00) 
186.	 65.0 	 C0 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
187.	 65.0 	 C0 - 3.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
188.	 64.9 	 C3 - 5.5 mA	 C0 - 4.5 mA 	 (0.73 / 1.00) 
189.	 64.8 	 C3 - 4.5 mA	 C0 - 4.0 mA 	 (0.75 / 1.00) 
190.	 64.8 	 C0 - 2.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
191.	 64.5 	 C0 - 5.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
192.	 64.4 	 C0 - 5.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
193.	 64.3 	 C0 - 2.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
194.	 64.2 	 C3 - 3.0 mA	 C1 - 2.0 mA 	 (0.81 / 1.00) 
195.	 64.2 	 C0 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
196.	 64.1 	 C0 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
197.	 64.1 	 C3 - 3.5 mA	 C0 - 3.5 mA 	 (0.79 / 1.00) 
198.	 63.9 	 C0 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
199.	 63.9 	 C0 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
200.	 63.8 	 C2 - 5.5 mA	 C0 - 5.5 mA 	 (0.93 / 1.00) 
201.	 63.7 	 C2 - 5.5 mA	 C0 - 5.0 mA 	 (0.93 / 1.00) 
202.	 63.5 	 C1 - 5.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
203.	 63.3 	 C0 - 4.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
204.	 63.3 	 C1 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
205.	 63.1 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (0.86 / 1.00) 
206.	 62.9 	 C0 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
207.	 62.8 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
208.	 62.7 	 C3 - 2.0 mA	 C1 - 3.0 mA 	 (0.86 / 1.00) 
209.	 62.7 	 C0 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
210.	 62.6 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
211.	 62.6 	 C3 - 2.5 mA	 C0 - 2.5 mA 	 (0.83 / 1.00) 
212.	 62.6 	 C0 - 5.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
213.	 62.3 	 C3 - 5.0 mA	 C0 - 4.0 mA 	 (0.74 / 1.00) 
214.	 62.3 	 C1 - 5.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
215.	 62.0 	 C0 - 3.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
216.	 62.0 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
217.	 61.9 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
218.	 61.8 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (0.96 / 1.00) 
219.	 61.8 	 C1 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
220.	 61.6 	 C0 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
221.	 61.6 	 C0 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
222.	 61.3 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
223.	 61.2 	 C3 - 1.5 mA	 C3 - 1.5 mA 	 (0.90 / 0.90) 
224.	 61.0 	 C0 - 3.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
225.	 61.0 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
226.	 60.9 	 C2 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
227.	 60.8 	 C2 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
228.	 60.7 	 C3 - 3.0 mA	 C0 - 3.0 mA 	 (0.81 / 1.00) 
229.	 60.7 	 C3 - 1.5 mA	 C2 - 1.5 mA 	 (0.90 / 1.00) 
230.	 60.7 	 C0 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
231.	 60.6 	 C2 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
232.	 60.4 	 C3 - 5.5 mA	 C0 - 4.0 mA 	 (0.73 / 1.00) 
233.	 60.4 	 C0 - 4.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
234.	 60.3 	 C3 - 3.5 mA	 C1 - 1.5 mA 	 (0.79 / 1.00) 
235.	 60.3 	 C0 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
236.	 60.3 	 C0 - 3.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
237.	 60.2 	 C1 - 4.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
238.	 60.2 	 C3 - 1.5 mA	 C1 - 3.5 mA 	 (0.90 / 1.00) 
239.	 60.2 	 C2 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
240.	 59.9 	 C3 - 2.5 mA	 C0 - 1.5 mA 	 (0.83 / 1.00) 
241.	 59.8 	 C1 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
242.	 59.8 	 C0 - 4.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
243.	 59.5 	 C2 - 3.5 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
244.	 59.5 	 C1 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
245.	 59.4 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (0.95 / 1.00) 
246.	 59.3 	 C3 - 2.0 mA	 C3 - 1.5 mA 	 (0.86 / 0.90) 
247.	 59.3 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
248.	 59.3 	 C0 - 5.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
249.	 59.3 	 C0 - 5.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
250.	 59.2 	 C2 - 5.0 mA	 C0 - 4.5 mA 	 (0.94 / 1.00) 
251.	 59.2 	 C0 - 2.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
252.	 59.1 	 C3 - 4.0 mA	 C0 - 3.5 mA 	 (0.77 / 1.00) 
253.	 58.7 	 C3 - 3.0 mA	 C1 - 2.5 mA 	 (0.81 / 1.00) 
254.	 58.7 	 C3 - 3.5 mA	 C1 - 2.0 mA 	 (0.79 / 1.00) 
255.	 58.6 	 C1 - 4.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
256.	 58.6 	 C0 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
257.	 58.6 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
258.	 58.6 	 C0 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
259.	 58.6 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
260.	 58.5 	 C0 - 3.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
261.	 58.5 	 C1 - 4.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
262.	 58.4 	 C1 - 5.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
263.	 58.2 	 C0 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
264.	 58.1 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
265.	 58.1 	 C2 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
266.	 58.0 	 C3 - 2.5 mA	 C0 - 2.0 mA 	 (0.83 / 1.00) 
267.	 58.0 	 C3 - 2.0 mA	 C1 - 3.5 mA 	 (0.86 / 1.00) 
268.	 58.0 	 C3 - 2.0 mA	 C2 - 1.5 mA 	 (0.86 / 1.00) 
269.	 57.8 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
270.	 57.8 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
271.	 57.5 	 C0 - 4.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
272.	 57.4 	 C3 - 2.5 mA	 C1 - 3.0 mA 	 (0.83 / 1.00) 
273.	 57.4 	 C0 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
274.	 57.3 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (0.75 / 1.00) 
275.	 57.2 	 C2 - 5.5 mA	 C0 - 4.5 mA 	 (0.93 / 1.00) 
276.	 57.1 	 C1 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
277.	 57.0 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (0.81 / 1.00) 
