			LL DEFAULT	LR DEFAULT
24.	 89.2 	 C0 - 4.5 mA	 C1 - 2.5 mA 	 (0.92 / 1.00) 
25.	 89.2 	 C2 - 5.5 mA	 C1 - 5.5 mA 	 (0.98 / 1.00) 
26.	 89.2 	 C2 - 5.5 mA	 C1 - 4.5 mA 	 (0.98 / 1.00) 
27.	 89.1 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
28.	 89.1 	 C2 - 5.0 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
29.	 89.1 	 C3 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
30.	 89.0 	 C3 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
31.	 89.0 	 C2 - 5.0 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
32.	 88.9 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (0.90 / 1.00) 
33.	 88.9 	 C3 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
34.	 88.8 	 C2 - 5.5 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
35.	 88.8 	 C2 - 5.0 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
36.	 88.8 	 C2 - 5.0 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
37.	 88.7 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (0.90 / 1.00) 
38.	 88.7 	 C3 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
39.	 88.6 	 C2 - 5.5 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
40.	 88.5 	 C2 - 4.5 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
41.	 88.5 	 C2 - 5.0 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
42.	 88.5 	 C2 - 5.5 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
43.	 88.5 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (0.89 / 1.00) 
44.	 88.4 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (0.89 / 1.00) 
45.	 88.4 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (0.90 / 1.00) 
46.	 88.3 	 C1 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
47.	 88.3 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (0.93 / 1.00) 
48.	 88.3 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
49.	 88.1 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (0.90 / 1.00) 
50.	 88.1 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (0.90 / 1.00) 
51.	 88.1 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (0.89 / 1.00) 
52.	 88.1 	 C2 - 5.0 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
53.	 87.9 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (0.89 / 1.00) 
54.	 87.9 	 C0 - 4.5 mA	 C1 - 2.0 mA 	 (0.92 / 1.00) 
55.	 87.9 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (0.89 / 1.00) 
56.	 87.7 	 C2 - 5.5 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
57.	 87.6 	 C2 - 4.5 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
58.	 87.6 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (0.92 / 1.00) 
59.	 87.4 	 C2 - 4.5 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
60.	 87.3 	 C0 - 4.0 mA	 C1 - 2.5 mA 	 (0.93 / 1.00) 
61.	 87.3 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (0.92 / 1.00) 
62.	 87.2 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (0.90 / 1.00) 
63.	 87.2 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (0.92 / 1.00) 
64.	 87.1 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (0.90 / 1.00) 
65.	 87.1 	 C2 - 4.5 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
66.	 87.1 	 C2 - 5.0 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
67.	 87.0 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (0.92 / 1.00) 
68.	 87.0 	 C0 - 4.5 mA	 C0 - 4.0 mA 	 (0.92 / 1.00) 
69.	 86.9 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
70.	 86.9 	 C1 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
71.	 86.9 	 C2 - 5.5 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
72.	 86.8 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (0.89 / 1.00) 
73.	 86.8 	 C2 - 4.5 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
74.	 86.8 	 C0 - 5.5 mA	 C1 - 5.0 mA 	 (0.89 / 1.00) 
75.	 86.7 	 C0 - 5.0 mA	 C1 - 5.5 mA 	 (0.90 / 1.00) 
76.	 86.6 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (0.93 / 1.00) 
77.	 86.6 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
78.	 86.5 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
79.	 86.5 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
80.	 86.4 	 C2 - 4.5 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
81.	 86.4 	 C2 - 5.0 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
82.	 86.4 	 C0 - 5.5 mA	 C1 - 5.5 mA 	 (0.89 / 1.00) 
83.	 86.3 	 C2 - 4.5 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
84.	 86.2 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
85.	 86.2 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (0.93 / 1.00) 
86.	 86.2 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
87.	 86.1 	 C2 - 4.5 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
88.	 86.0 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
89.	 86.0 	 C2 - 4.5 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
90.	 86.0 	 C0 - 4.0 mA	 C0 - 4.5 mA 	 (0.93 / 1.00) 
91.	 86.0 	 C2 - 4.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
92.	 85.9 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (0.90 / 1.00) 
93.	 85.9 	 C0 - 4.0 mA	 C0 - 4.0 mA 	 (0.93 / 1.00) 
94.	 85.9 	 C0 - 4.0 mA	 C1 - 2.0 mA 	 (0.93 / 1.00) 
95.	 85.9 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
96.	 85.8 	 C2 - 5.5 mA	 C0 - 3.0 mA 	 (0.98 / 1.00) 
97.	 85.8 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (0.89 / 1.00) 
98.	 85.8 	 C2 - 5.5 mA	 C2 - 4.5 mA 	 (0.98 / 1.00) 
99.	 85.7 	 C3 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
100.	 85.7 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
101.	 85.6 	 C2 - 5.5 mA	 C0 - 2.5 mA 	 (0.98 / 1.00) 
102.	 85.6 	 C2 - 5.0 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
103.	 85.5 	 C1 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
104.	 85.5 	 C0 - 5.0 mA	 C1 - 1.5 mA 	 (0.90 / 1.00) 
105.	 85.5 	 C2 - 5.5 mA	 C2 - 3.5 mA 	 (0.98 / 1.00) 
106.	 85.5 	 C2 - 5.5 mA	 C2 - 1.5 mA 	 (0.98 / 1.00) 
107.	 85.4 	 C0 - 5.5 mA	 C1 - 1.5 mA 	 (0.89 / 1.00) 
108.	 85.4 	 C3 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
109.	 85.3 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (0.93 / 1.00) 
110.	 85.3 	 C2 - 5.0 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
111.	 85.3 	 C2 - 4.5 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
112.	 85.2 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
113.	 85.2 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (0.92 / 1.00) 
114.	 85.2 	 C0 - 4.5 mA	 C1 - 5.0 mA 	 (0.92 / 1.00) 
115.	 85.1 	 C2 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
116.	 85.1 	 C3 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
117.	 85.0 	 C2 - 5.0 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
118.	 85.0 	 C2 - 5.5 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
119.	 84.9 	 C2 - 5.0 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
120.	 84.8 	 C1 - 2.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
121.	 84.8 	 C0 - 4.5 mA	 C1 - 5.5 mA 	 (0.92 / 1.00) 
122.	 84.7 	 C3 - 5.5 mA	 C1 - 3.5 mA 	 (0.94 / 1.00) 
123.	 84.7 	 C2 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
124.	 84.6 	 C0 - 5.0 mA	 C0 - 3.0 mA 	 (0.90 / 1.00) 
125.	 84.6 	 C2 - 5.0 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
126.	 84.6 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (0.92 / 1.00) 
127.	 84.6 	 C0 - 5.5 mA	 C0 - 3.0 mA 	 (0.89 / 1.00) 
128.	 84.6 	 C2 - 5.5 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
129.	 84.6 	 C2 - 5.0 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
130.	 84.6 	 C2 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
131.	 84.5 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.90 / 1.00) 
132.	 84.5 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.89 / 1.00) 
133.	 84.3 	 C1 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
134.	 84.3 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
135.	 84.3 	 C3 - 5.0 mA	 C1 - 3.5 mA 	 (0.95 / 1.00) 
136.	 84.2 	 C3 - 5.5 mA	 C0 - 5.5 mA 	 (0.94 / 1.00) 
137.	 84.2 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
138.	 84.2 	 C2 - 4.5 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
139.	 84.2 	 C3 - 5.5 mA	 C1 - 3.0 mA 	 (0.94 / 1.00) 
140.	 84.1 	 C2 - 5.5 mA	 C2 - 3.0 mA 	 (0.98 / 1.00) 
141.	 84.0 	 C2 - 5.5 mA	 C2 - 2.5 mA 	 (0.98 / 1.00) 
142.	 84.0 	 C2 - 5.0 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
143.	 84.0 	 C2 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
144.	 84.0 	 C2 - 5.0 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
145.	 83.9 	 C1 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
146.	 83.9 	 C3 - 5.5 mA	 C0 - 5.0 mA 	 (0.94 / 1.00) 
147.	 83.8 	 C1 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
148.	 83.8 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
149.	 83.8 	 C3 - 5.0 mA	 C0 - 5.5 mA 	 (0.95 / 1.00) 
150.	 83.7 	 C3 - 5.0 mA	 C1 - 3.0 mA 	 (0.95 / 1.00) 
151.	 83.7 	 C3 - 5.5 mA	 C1 - 2.5 mA 	 (0.94 / 1.00) 
152.	 83.7 	 C3 - 5.5 mA	 C0 - 4.5 mA 	 (0.94 / 1.00) 
153.	 83.7 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
154.	 83.6 	 C2 - 4.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
155.	 83.6 	 C3 - 5.5 mA	 C0 - 4.0 mA 	 (0.94 / 1.00) 
156.	 83.6 	 C3 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
157.	 83.5 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.95 / 1.00) 
158.	 83.5 	 C2 - 5.5 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
159.	 83.5 	 C2 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
160.	 83.5 	 C1 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
161.	 83.5 	 C3 - 4.5 mA	 C1 - 3.5 mA 	 (0.96 / 1.00) 
162.	 83.5 	 C2 - 5.5 mA	 C2 - 5.0 mA 	 (0.98 / 1.00) 
163.	 83.4 	 C3 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
164.	 83.4 	 C2 - 4.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
165.	 83.4 	 C1 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
166.	 83.4 	 C0 - 5.0 mA	 C2 - 4.0 mA 	 (0.90 / 1.00) 
167.	 83.4 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (0.93 / 1.00) 
168.	 83.3 	 C0 - 4.0 mA	 C0 - 3.5 mA 	 (0.93 / 1.00) 
169.	 83.3 	 C2 - 4.5 mA	 C2 - 4.0 mA 	 (0.99 / 1.00) 
170.	 83.3 	 C0 - 5.5 mA	 C2 - 4.0 mA 	 (0.89 / 1.00) 
171.	 83.3 	 C1 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
172.	 83.3 	 C3 - 5.0 mA	 C0 - 4.5 mA 	 (0.95 / 1.00) 
173.	 83.3 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (0.93 / 1.00) 
174.	 83.3 	 C3 - 5.5 mA	 C1 - 4.0 mA 	 (0.94 / 1.00) 
175.	 83.3 	 C0 - 4.5 mA	 C1 - 1.5 mA 	 (0.92 / 1.00) 
176.	 83.2 	 C3 - 5.0 mA	 C1 - 2.5 mA 	 (0.95 / 1.00) 
177.	 83.2 	 C3 - 5.0 mA	 C0 - 4.0 mA 	 (0.95 / 1.00) 
178.	 83.2 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
179.	 83.2 	 C3 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
180.	 83.2 	 C3 - 4.5 mA	 C0 - 5.5 mA 	 (0.96 / 1.00) 
181.	 83.1 	 C3 - 5.5 mA	 C1 - 2.0 mA 	 (0.94 / 1.00) 
182.	 83.1 	 C0 - 4.5 mA	 C0 - 3.0 mA 	 (0.92 / 1.00) 
183.	 83.1 	 C2 - 4.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
184.	 83.1 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (0.89 / 1.00) 
185.	 83.1 	 C2 - 5.0 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
186.	 83.1 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (0.90 / 1.00) 
187.	 83.0 	 C0 - 4.0 mA	 C1 - 5.5 mA 	 (0.93 / 1.00) 
188.	 83.0 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
189.	 83.0 	 C2 - 5.0 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
190.	 82.9 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (0.92 / 1.00) 
191.	 82.9 	 C2 - 4.5 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
192.	 82.9 	 C1 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
193.	 82.9 	 C3 - 4.5 mA	 C1 - 3.0 mA 	 (0.96 / 1.00) 
194.	 82.9 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
195.	 82.9 	 C3 - 4.5 mA	 C0 - 5.0 mA 	 (0.96 / 1.00) 
196.	 82.8 	 C2 - 5.0 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
197.	 82.8 	 C3 - 5.5 mA	 C1 - 5.0 mA 	 (0.94 / 1.00) 
198.	 82.7 	 C3 - 5.0 mA	 C1 - 4.0 mA 	 (0.95 / 1.00) 
199.	 82.7 	 C3 - 5.5 mA	 C1 - 5.5 mA 	 (0.94 / 1.00) 
200.	 82.7 	 C3 - 5.0 mA	 C1 - 2.0 mA 	 (0.95 / 1.00) 
201.	 82.7 	 C3 - 4.5 mA	 C0 - 4.5 mA 	 (0.96 / 1.00) 
202.	 82.7 	 C1 - 2.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
203.	 82.6 	 C3 - 5.5 mA	 C1 - 4.5 mA 	 (0.94 / 1.00) 
204.	 82.6 	 C2 - 4.5 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
205.	 82.6 	 C3 - 4.5 mA	 C0 - 4.0 mA 	 (0.96 / 1.00) 
206.	 82.6 	 C1 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
207.	 82.5 	 C1 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
208.	 82.5 	 C2 - 5.0 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
209.	 82.4 	 C2 - 4.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
210.	 82.4 	 C2 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
211.	 82.4 	 C3 - 4.5 mA	 C1 - 2.5 mA 	 (0.96 / 1.00) 
212.	 82.4 	 C2 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
213.	 82.3 	 C2 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
214.	 82.3 	 C2 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
215.	 82.2 	 C3 - 5.0 mA	 C1 - 5.0 mA 	 (0.95 / 1.00) 
216.	 82.2 	 C3 - 4.0 mA	 C1 - 3.5 mA 	 (0.97 / 1.00) 
217.	 82.2 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (0.97 / 1.00) 
218.	 82.2 	 C3 - 5.5 mA	 C0 - 3.5 mA 	 (0.94 / 1.00) 
219.	 82.2 	 C3 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
220.	 82.2 	 C0 - 5.5 mA	 C2 - 1.5 mA 	 (0.89 / 1.00) 
221.	 82.2 	 C3 - 5.0 mA	 C1 - 5.5 mA 	 (0.95 / 1.00) 
222.	 82.1 	 C0 - 5.0 mA	 C2 - 1.5 mA 	 (0.90 / 1.00) 
223.	 82.1 	 C3 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
224.	 82.1 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
225.	 82.1 	 C3 - 5.0 mA	 C1 - 4.5 mA 	 (0.95 / 1.00) 
226.	 82.1 	 C2 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
227.	 82.1 	 C2 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
228.	 82.0 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
229.	 82.0 	 C2 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
230.	 81.9 	 C2 - 3.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
231.	 81.9 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (0.95 / 1.00) 
232.	 81.9 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (0.97 / 1.00) 
233.	 81.9 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
234.	 81.9 	 C2 - 5.5 mA	 C3 - 1.5 mA 	 (0.98 / 1.00) 
235.	 81.8 	 C3 - 4.5 mA	 C1 - 2.0 mA 	 (0.96 / 1.00) 
236.	 81.8 	 C3 - 4.5 mA	 C1 - 4.0 mA 	 (0.96 / 1.00) 
237.	 81.8 	 C3 - 5.0 mA	 C0 - 3.5 mA 	 (0.95 / 1.00) 
238.	 81.7 	 C0 - 4.0 mA	 C0 - 3.0 mA 	 (0.93 / 1.00) 
239.	 81.7 	 C2 - 5.5 mA	 C2 - 5.5 mA 	 (0.98 / 1.00) 
240.	 81.7 	 C3 - 4.0 mA	 C0 - 4.5 mA 	 (0.97 / 1.00) 
241.	 81.6 	 C3 - 4.0 mA	 C0 - 4.0 mA 	 (0.97 / 1.00) 
242.	 81.6 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (0.98 / 1.00) 
243.	 81.6 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.98 / 1.00) 
244.	 81.6 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
245.	 81.6 	 C3 - 4.0 mA	 C1 - 3.0 mA 	 (0.97 / 1.00) 
246.	 81.6 	 C2 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
247.	 81.5 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
248.	 81.5 	 C0 - 3.5 mA	 C0 - 5.0 mA 	 (0.95 / 1.00) 
249.	 81.5 	 C3 - 3.5 mA	 C1 - 3.5 mA 	 (0.98 / 1.00) 
250.	 81.5 	 C0 - 4.0 mA	 C0 - 2.5 mA 	 (0.93 / 1.00) 
251.	 81.4 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (0.89 / 1.00) 
252.	 81.4 	 C3 - 5.5 mA	 C0 - 3.0 mA 	 (0.94 / 1.00) 
253.	 81.3 	 C1 - 2.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
254.	 81.3 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
255.	 81.3 	 C3 - 5.5 mA	 C1 - 1.5 mA 	 (0.94 / 1.00) 
256.	 81.3 	 C2 - 4.5 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
257.	 81.3 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (0.90 / 1.00) 
258.	 81.3 	 C1 - 5.5 mA	 C0 - 5.5 mA 	 (0.97 / 1.00) 
259.	 81.2 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (0.92 / 1.00) 
260.	 81.2 	 C3 - 5.5 mA	 C0 - 2.5 mA 	 (0.94 / 1.00) 
261.	 81.2 	 C0 - 3.5 mA	 C0 - 4.5 mA 	 (0.95 / 1.00) 
262.	 81.2 	 C3 - 4.5 mA	 C1 - 5.0 mA 	 (0.96 / 1.00) 
263.	 81.2 	 C3 - 5.5 mA	 C2 - 4.0 mA 	 (0.94 / 1.00) 
264.	 81.2 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
265.	 81.2 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
266.	 81.1 	 C3 - 4.5 mA	 C1 - 5.5 mA 	 (0.96 / 1.00) 
267.	 81.1 	 C3 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
268.	 81.1 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
269.	 81.1 	 C3 - 3.5 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
270.	 81.1 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
271.	 81.1 	 C0 - 3.5 mA	 C0 - 4.0 mA 	 (0.95 / 1.00) 
272.	 81.1 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (0.96 / 1.00) 
273.	 81.0 	 C3 - 4.0 mA	 C1 - 2.5 mA 	 (0.97 / 1.00) 
274.	 81.0 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
275.	 81.0 	 C3 - 4.5 mA	 C1 - 4.5 mA 	 (0.96 / 1.00) 
276.	 81.0 	 C3 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
